Player,Team,SO/BB,WHIP,IP,W,L,ERA
Mason Miller,OAK,4.95,0.877,65.0,2.0,2.0,2.49
Robert Suarez,SDP,3.69,1.046,65.0,9.0,3.0,2.77
Hoby Milner*,MIL,4.57,1.191,64.2,5.0,1.0,4.73
David Festa,MIN,3.35,1.321,64.1,2.0,6.0,4.9
Tyler Kinley,COL,2.18,1.469,64.0,6.0,1.0,6.19
Enyel De Los Santos,SDP,3.69,1.289,40.1,1.0,2.0,4.46
Enyel De Los Santos,CHW,1.44,1.269,17.1,0.0,0.0,3.63
Phil Maton,TBR,1.67,1.33,35.1,1.0,2.0,4.58
Phil Maton,NYM,5.0,0.837,28.2,2.0,1.0,2.51
Kyle Finnegan,WSN,2.5,1.335,63.2,3.0,8.0,3.68
Adrián Morejón*,SDP,3.38,1.319,63.2,3.0,2.0,2.83
Osvaldo Bido,OAK,2.42,1.089,63.1,5.0,3.0,3.41
Jesse Chavez,ATL,2.89,1.247,63.1,2.0,2.0,3.13
Greg Weissert,BOS,2.9,1.342,63.1,4.0,2.0,3.13
Clay Holmes,NYY,3.09,1.302,63.0,3.0,5.0,3.14
Daniel Hudson,LAD,3.32,1.032,63.0,6.0,2.0,3.0
Orion Kerkering,PHI,4.35,1.079,63.0,5.0,3.0,2.29
Génesis Cabrera*,TOR,1.72,1.468,62.2,3.0,3.0,3.59
Yuki Matsui*,SDP,2.56,1.165,62.2,4.0,2.0,3.73
Matt Strahm*,PHI,7.18,0.75,62.2,6.0,2.0,1.87
Bryan Hudson*,MIL,3.65,0.722,62.1,6.0,1.0,1.73
Jared Koenig*,MIL,2.74,1.242,62.0,9.0,4.0,2.47
Tyson Miller,SEA,12.0,0.771,11.2,0.0,0.0,3.09
Tyson Miller,CHC,4.2,0.815,50.1,5.0,1.0,2.15
José Alvarado*,PHI,2.25,1.249,61.2,2.0,5.0,4.09
Aroldis Chapman*,PIT,2.51,1.346,61.2,5.0,5.0,3.79
Kirby Yates,TEX,3.04,0.827,61.2,7.0,2.0,1.17
Lucas Erceg,OAK,3.15,1.2,36.2,2.0,3.0,3.68
Lucas Erceg,KCR,10.33,0.84,25.0,0.0,3.0,2.88
Peter Lambert,COL,1.72,1.663,61.1,2.0,5.0,5.72
Jeremiah Estrada,SDP,4.09,1.066,61.0,6.0,3.0,2.95
Austin Voth,SEA,3.39,1.049,61.0,2.0,5.0,3.69
Emerson Hancock,SEA,2.05,1.335,60.2,4.0,4.0,4.75
Yennier Cano,BAL,2.71,1.3,60.0,4.0,3.0,3.15
Garrett Cleavinger*,TBR,2.29,1.383,60.0,7.0,5.0,3.75
Jason Foley,DET,2.3,1.183,60.0,3.0,6.0,3.15
John King*,STL,2.71,1.2,60.0,3.0,3.0,2.85
Taylor Rogers*,SFG,2.91,1.25,60.0,1.0,4.0,2.4
Robert Garcia*,WSN,4.69,1.19,59.2,3.0,6.0,4.22
Justin Lawrence,COL,1.36,1.777,59.2,4.0,4.0,6.49
Dylan Lee*,ATL,4.47,1.106,59.2,4.0,2.0,2.11
Joe Mantiply*,ARI,2.94,1.173,59.2,6.0,2.0,3.92
Anthony Molina,COL,1.86,1.575,59.2,1.0,1.0,6.79
Bryce Jarvis,ARI,1.15,1.433,59.1,1.0,2.0,3.19
Andrés Muñoz,SEA,2.96,0.961,59.1,3.0,7.0,2.12
Héctor Neris,CHC,1.77,1.523,44.0,8.0,4.0,3.89
Héctor Neris,HOU,9.0,1.043,15.1,2.0,1.0,4.7
Camilo Doval,SFG,2.0,1.576,59.0,5.0,3.0,4.88
Joel Payamps,MIL,3.28,0.966,59.0,3.0,7.0,3.05
JoJo Romero*,STL,3.19,1.153,59.0,7.0,3.0,3.36
Luis García,LAA,2.86,1.168,43.2,5.0,1.0,3.71
Luis García,BOS,13.0,1.63,15.1,0.0,0.0,8.22
Drew Smyly*,CHC,2.24,1.398,58.2,4.0,8.0,3.84
Seranthony Domínguez,PHI,3.33,1.222,36.0,3.0,2.0,4.75
Seranthony Domínguez,BAL,3.11,1.279,22.2,0.0,2.0,3.97
Jorge Alcalá,MIN,2.9,1.029,58.1,4.0,3.0,3.24
Chris Stratton,KCR,1.33,1.474,58.1,4.0,3.0,5.55
Chase Anderson,BOS,1.84,1.25,52.0,0.0,2.0,4.85
Mike Baumann,BAL,1.78,1.473,18.1,1.0,0.0,3.44
Mike Baumann,SEA,2.0,1.286,16.1,2.0,0.0,5.51
Mike Baumann,LAA,1.75,1.929,9.1,0.0,0.0,6.75
Mike Baumann,MIA,2.57,1.317,13.2,0.0,1.0,6.59
Mark Leiter Jr.,CHC,4.08,1.101,36.1,2.0,4.0,4.21
Mark Leiter Jr.,NYY,3.67,1.708,21.2,2.0,1.0,4.98
David Bednar,PIT,2.07,1.422,57.2,3.0,8.0,5.77
Nick Sandlin,CLE,2.52,1.266,57.2,8.0,0.0,3.75
Nick Mears,COL,2.71,1.5,45.1,1.0,4.0,5.56
Nick Mears,MIL,6.0,1.378,12.1,0.0,1.0,7.3
Alex Faedo,DET,1.96,1.343,57.1,5.0,3.0,3.61
Reed Garrett,NYM,2.77,1.395,57.1,8.0,5.0,3.77
Max Meyer,MIA,2.42,1.421,57.0,3.0,5.0,5.68
Zack Kelly,BOS,2.26,1.253,56.2,6.0,3.0,3.97
James McArthur,KCR,3.5,1.447,56.2,5.0,7.0,4.92
T.J. McFarland*,OAK,2.29,1.235,56.2,2.0,4.0,3.81
Ryan Pressly,HOU,3.22,1.341,56.2,2.0,3.0,3.49
Jacob Webb,BAL,2.15,1.182,56.2,2.0,5.0,3.02
Alexis Díaz,CIN,1.77,1.296,56.1,2.0,5.0,3.99
Pierce Johnson,ATL,2.68,1.296,56.1,6.0,6.0,3.67
Andrew Chafin*,DET,3.13,1.378,37.0,3.0,2.0,3.16
Andrew Chafin*,TEX,1.33,1.655,19.1,1.0,1.0,4.19
Burch Smith,MIA,2.56,1.618,29.2,2.0,0.0,4.25
Burch Smith,BAL,7.67,1.05,26.2,2.0,1.0,5.74
Bobby Miller,LAD,1.73,1.768,56.0,2.0,4.0,8.52
Adam Ottavino,NYM,3.04,1.286,56.0,2.0,2.0,4.34
Shelby Miller,DET,3.77,0.97,55.2,6.0,8.0,4.53
Ben Brown,CHC,3.37,1.084,55.1,1.0,3.0,3.58
Aaron Bummer*,ATL,3.83,1.428,55.1,4.0,3.0,3.58
Justin Slaten,BOS,6.44,1.012,55.1,6.0,2.0,2.93
Keaton Winn,SFG,2.4,1.373,55.1,3.0,8.0,7.16
John Brebbia,CHW,3.41,1.418,48.2,0.0,6.0,6.29
Ryne Stanek,SEA,2.59,1.333,39.0,6.0,3.0,4.38
Ryne Stanek,NYM,2.88,1.286,16.1,1.0,0.0,6.06
Scott Barlow,CLE,2.19,1.364,55.0,3.0,3.0,4.25
Carlos Estévez,LAA,6.4,0.735,34.0,1.0,3.0,2.38
Carlos Estévez,PHI,2.57,1.19,21.0,3.0,2.0,2.57
Kenley Jansen,BOS,3.1,1.061,54.2,4.0,2.0,3.29
Kyle Nicolas,PIT,1.77,1.5,54.2,2.0,2.0,3.95
Evan Phillips,LAD,3.71,1.189,54.2,5.0,1.0,3.62
Jhoan Durán,MIN,4.4,1.16,54.1,6.0,9.0,3.64
Spencer Turnbull,PHI,2.9,1.049,54.1,3.0,0.0,2.65
Caleb Ferguson*,NYY,2.56,1.5,33.1,1.0,3.0,5.13
Caleb Ferguson*,HOU,2.89,1.476,21.0,0.0,1.0,3.86
Edwin Díaz,NYM,4.2,1.043,53.2,6.0,4.0,3.52
Calvin Faucher,MIA,2.42,1.398,53.2,2.0,3.0,3.19
Cionel Pérez*,BAL,1.64,1.398,53.2,2.0,0.0,4.53
Ángel Zerpa*,KCR,2.58,1.453,53.2,2.0,0.0,3.86
Bryan Hoeing,MIA,2.78,1.267,30.0,1.0,2.0,2.7
Bryan Hoeing,SDP,3.6,0.803,23.2,1.0,1.0,1.52
Justin Anderson,CHW,1.78,1.5,53.1,1.0,2.0,4.39
Chad Green,TOR,3.29,1.031,53.1,4.0,6.0,3.21
Chad Kuhl,CHW,2.16,1.519,53.1,0.0,2.0,5.06
Anthony Bender,MIA,3.28,1.283,53.0,5.0,2.0,4.08
Luke Jackson,SFG,2.2,1.429,35.0,4.0,2.0,5.4
Luke Jackson,ATL,2.36,1.556,18.0,0.0,1.0,4.5
Jorge López,NYM,1.73,1.367,26.1,1.0,2.0,3.76
