pixel,importance
pixel585,0.0004892599978068657
pixel586,0.0047288598227759535
pixel587,0.0007989328952197152
pixel588,0.00015137155389308754
pixel589,4.446333942651261e-05
pixel590,9.747977388160056e-05
pixel591,0.00048633380995355093
pixel592,0.00010902646311873811
pixel593,0.0005015564435005477
pixel594,0.007361889080258589
pixel595,0.0004292951026195853
pixel596,0.001054353563731784
pixel597,0.0018805782949435146
pixel598,0.0021697660316998112
pixel599,0.002374406927973219
pixel600,0.007093054491506859
pixel601,0.0014172778295457739
pixel602,0.0002667263537066833
pixel603,0.016187356665922654
pixel604,0.009852012205709727
pixel605,0.00077335729385446
pixel606,0.0006029408217747482
pixel607,0.0007609491203308573
pixel608,0.0005509242054995198
pixel609,0.00046489479481933273
pixel610,0.0006000305255931884
pixel611,0.0035564859303630963
pixel612,0.006025208715827018
pixel613,0.002546406330305714
pixel614,0.0005620962044543321
pixel615,0.00015036364376529537
pixel616,0.0
pixel617,2.8489939911819465e-05
pixel618,0.00012175801636344486
pixel619,2.1750012076211206e-05
pixel620,0.000307501113255365
pixel621,0.00042616712693625824
pixel622,0.005806365861757037
pixel623,0.00105260656593886
pixel624,0.0003334860220568386
pixel625,0.00042580004356084514
pixel626,0.0006635738008343553
pixel627,0.000772483027172086
pixel628,0.001887678143418213
pixel629,0.000521139908502873
pixel630,0.0012544543354959727
pixel631,0.003581615549106628
pixel632,0.0002724701165607704
pixel633,0.00030898080248069494
pixel634,0.0003229150953364235
pixel635,0.000855539330372178
pixel636,0.00042707976335397657
pixel637,0.0007881306551667249
pixel638,0.001249035518317835
pixel639,0.0006683962791552332
pixel640,0.0015846729574893715
pixel641,0.00011185750120577794
pixel642,0.0002001606424875418
pixel643,4.616486148214231e-05
pixel644,2.425984184516487e-05
pixel645,2.3538318676344215e-05
pixel646,0.0
pixel647,5.6071600369653e-05
pixel648,0.00014588336946288978
pixel649,0.00021914420651842736
pixel650,0.003070454508868817
pixel651,0.0006144969923831835
pixel652,0.00079754142968037
pixel653,0.0011178088850645816
pixel654,0.00020910691837147294
pixel655,0.00071944921206681
pixel656,0.00013088168459001668
pixel657,0.000651255919530091
pixel658,0.00021406296114957234
pixel659,0.0028922478393345152
pixel660,0.0006099089672314639
pixel661,0.0001626063968550047
pixel662,0.000616448364500887
pixel663,0.00015072398599639484
pixel664,0.0
pixel665,0.0001645793893439775
pixel666,0.0004925143359190833
pixel667,0.00010299319392875357
pixel668,0.0015164385257481494
pixel669,0.0004544894982411392
pixel670,0.0
pixel671,0.0
pixel672,2.487308662229797e-05
pixel673,0.0
pixel674,0.00012205979534675488
pixel675,0.0
pixel676,3.372799202806186e-05
pixel677,0.00019655225157065435
pixel678,0.0010032107818311777
pixel679,0.00011538739753078132
pixel680,0.0005366789629330198
pixel681,0.0005836222032175888
pixel682,9.854097343142908e-05
pixel683,0.0005748626405471793
pixel684,0.00030885360649688184
pixel685,8.328705534578533e-05
pixel686,0.00025667856470928355
pixel687,0.0002119698050350278
pixel688,0.000613542663876957
pixel689,6.429978860663452e-05
pixel690,0.0010248743709678734
pixel691,0.0004221676326590455
pixel692,8.445511803838472e-05
pixel693,0.0006027894544130765
pixel694,0.001897992064401398
pixel695,3.0284009982601226e-05
pixel696,0.0038239905102131167
pixel697,0.0
pixel698,0.00015386254524079977
pixel699,0.00016303447418941793
pixel700,0.0
pixel701,0.0
pixel702,3.0272703130744408e-05
pixel703,8.535607198212694e-05
pixel704,5.7161834622656405e-05
pixel705,9.364933606927603e-05
pixel706,0.0004350783995646065
pixel707,0.0004915597212163154
pixel708,0.0013254982800997238
pixel709,0.0006454936166621826
pixel710,0.0006110161520583274
pixel711,0.00036939648506357993
pixel712,0.00013332291296589321
pixel713,0.0003214817893120852
pixel714,0.00039661431442104394
pixel715,0.0018390417013587177
pixel716,0.00022806764490455184
pixel717,0.0012644888157878312
pixel718,0.0008718061663404691
pixel719,0.000647874207827963
pixel720,0.0007100784304808611
pixel721,0.0015513220863111554
pixel722,0.00048628715572878513
pixel723,0.0001463206566605496
pixel724,0.0008511339907798509
pixel725,0.00022665066829664188
pixel726,0.0
pixel727,0.0
pixel728,0.0
pixel729,0.0
pixel730,0.0005477056731362622
pixel731,8.67608232512295e-05
pixel732,1.6253057021488373e-05
pixel733,0.00041059703837115555
pixel734,0.00037869742837150265
pixel735,0.00039294784449664665
pixel736,0.0004280815898619287
pixel737,0.0012606596645106849
pixel738,0.00037831565659278107
pixel739,0.0003767010756159742
pixel740,0.0005465648662437073
pixel741,0.0009596935978755905
pixel742,0.002308633149258508
pixel743,0.002783558958051568
pixel744,0.002678319679811217
pixel745,0.0015691455723884072
pixel746,0.0006910947407123304
pixel747,0.0006892159543819999
pixel748,0.00043747597491131476
pixel749,0.0010084020225455117
pixel750,0.0004019414322766651
pixel751,0.0001656763299929804
pixel752,0.0003916269056927532
pixel753,0.0
pixel754,0.0
pixel755,0.00012555163122368907
pixel756,0.0
pixel757,0.0
pixel758,0.0
pixel759,2.3241775019018875e-05
pixel760,3.3562892863634056e-05
pixel761,3.926960350998435e-05
pixel762,0.000524927783475118
pixel763,0.0006471356507858751
pixel764,0.0007513642811322365
pixel765,0.0007567739638757777
pixel766,0.0006731155191039283
pixel767,0.0006162232848417643
pixel768,0.00016752528647442214
pixel769,0.0017918960369772217
pixel770,0.001345861640459931
pixel771,0.0021388634892681
pixel772,0.00031876477593200536
pixel773,0.0003606192703932752
pixel774,0.0005341804839430246
pixel775,0.0005632761526633587
pixel776,0.0005429665047609907
pixel777,0.0006547435332508021
pixel778,0.00041837727086643296
pixel779,0.00036231184067139787
pixel780,0.000292136260099321
pixel781,0.0004377539723612562
pixel782,0.0
pixel783,0.0
pixel784,0.0
